pos,last_before,first_after,missing_bars,delta_min
671810,2023-12-24 23:10:00+00:00,2023-12-24 23:35:00+00:00,4,25.0
671811,2023-12-24 23:35:00+00:00,2023-12-24 23:45:00+00:00,1,10.0
671819,2023-12-25 00:20:00+00:00,2023-12-25 00:30:00+00:00,1,10.0
671840,2023-12-25 02:10:00+00:00,2023-12-25 02:20:00+00:00,1,10.0
671844,2023-12-25 02:35:00+00:00,2023-12-25 02:45:00+00:00,1,10.0
671856,2023-12-25 03:40:00+00:00,2023-12-25 03:50:00+00:00,1,10.0
671867,2023-12-25 04:40:00+00:00,2023-12-25 04:50:00+00:00,1,10.0
671905,2023-12-25 07:55:00+00:00,2023-12-25 22:00:00+00:00,168,845.0
673057,2023-12-29 21:55:00+00:00,2024-01-01 22:00:00+00:00,288,4325.0
697252,2024-04-28 21:10:00+00:00,2024-04-28 21:20:00+00:00,1,10.0
700130,2024-05-12 21:05:00+00:00,2024-05-12 21:15:00+00:00,1,10.0
708160,2024-06-19 18:20:00+00:00,2024-06-19 18:30:00+00:00,1,10.0
709076,2024-06-24 22:45:00+00:00,2024-06-24 22:55:00+00:00,1,10.0
711328,2024-07-04 18:30:00+00:00,2024-07-04 18:40:00+00:00,1,10.0
711335,2024-07-04 19:10:00+00:00,2024-07-04 19:20:00+00:00,1,10.0
731252,2024-10-09 23:00:00+00:00,2024-10-10 00:10:00+00:00,13,70.0
744311,2024-12-12 09:20:00+00:00,2024-12-12 09:40:00+00:00,3,20.0
744312,2024-12-12 09:40:00+00:00,2024-12-12 09:55:00+00:00,2,15.0
746763,2024-12-24 22:05:00+00:00,2024-12-24 22:15:00+00:00,1,10.0
746764,2024-12-24 22:15:00+00:00,2024-12-24 22:25:00+00:00,1,10.0
746766,2024-12-24 22:30:00+00:00,2024-12-24 22:40:00+00:00,1,10.0
746767,2024-12-24 22:40:00+00:00,2024-12-24 22:50:00+00:00,1,10.0
746770,2024-12-24 23:00:00+00:00,2024-12-24 23:10:00+00:00,1,10.0
746772,2024-12-24 23:15:00+00:00,2024-12-24 23:25:00+00:00,1,10.0
746774,2024-12-24 23:30:00+00:00,2024-12-24 23:45:00+00:00,2,15.0
746775,2024-12-24 23:45:00+00:00,2024-12-24 23:55:00+00:00,1,10.0
746795,2024-12-25 01:30:00+00:00,2024-12-25 01:40:00+00:00,1,10.0
746797,2024-12-25 01:45:00+00:00,2024-12-25 02:00:00+00:00,2,15.0
746800,2024-12-25 02:10:00+00:00,2024-12-25 02:30:00+00:00,3,20.0
746809,2024-12-25 03:10:00+00:00,2024-12-25 03:25:00+00:00,2,15.0
746821,2024-12-25 04:20:00+00:00,2024-12-25 04:30:00+00:00,1,10.0
746824,2024-12-25 04:40:00+00:00,2024-12-25 05:00:00+00:00,3,20.0
746846,2024-12-25 06:45:00+00:00,2024-12-25 06:55:00+00:00,1,10.0
746859,2024-12-25 07:55:00+00:00,2024-12-25 22:00:00+00:00,168,845.0
748011,2024-12-31 21:55:00+00:00,2025-01-01 22:00:00+00:00,288,1445.0
798123,2025-09-02 20:55:00+00:00,2025-09-02 21:05:00+00:00,1,10.0
821453,2025-12-24 22:10:00+00:00,2025-12-24 22:20:00+00:00,1,10.0
821458,2025-12-24 22:40:00+00:00,2025-12-24 23:00:00+00:00,3,20.0
821461,2025-12-24 23:10:00+00:00,2025-12-24 23:25:00+00:00,2,15.0
821462,2025-12-24 23:25:00+00:00,2025-12-24 23:55:00+00:00,5,30.0
821464,2025-12-25 00:00:00+00:00,2025-12-25 00:10:00+00:00,1,10.0
821465,2025-12-25 00:10:00+00:00,2025-12-25 00:25:00+00:00,2,15.0
821475,2025-12-25 01:10:00+00:00,2025-12-25 01:20:00+00:00,1,10.0
821480,2025-12-25 01:40:00+00:00,2025-12-25 01:50:00+00:00,1,10.0
821484,2025-12-25 02:05:00+00:00,2025-12-25 02:15:00+00:00,1,10.0
821488,2025-12-25 02:30:00+00:00,2025-12-25 02:40:00+00:00,1,10.0
821492,2025-12-25 02:55:00+00:00,2025-12-25 03:15:00+00:00,3,20.0
821497,2025-12-25 03:35:00+00:00,2025-12-25 03:45:00+00:00,1,10.0
821499,2025-12-25 03:50:00+00:00,2025-12-25 04:10:00+00:00,3,20.0
821501,2025-12-25 04:15:00+00:00,2025-12-25 04:40:00+00:00,4,25.0
821503,2025-12-25 04:45:00+00:00,2025-12-25 04:55:00+00:00,1,10.0
821504,2025-12-25 04:55:00+00:00,2025-12-25 05:15:00+00:00,3,20.0
821507,2025-12-25 05:25:00+00:00,2025-12-25 05:35:00+00:00,1,10.0
821513,2025-12-25 06:00:00+00:00,2025-12-25 06:10:00+00:00,1,10.0
821515,2025-12-25 06:15:00+00:00,2025-12-25 06:25:00+00:00,1,10.0
821534,2025-12-25 07:55:00+00:00,2025-12-25 22:00:00+00:00,168,845.0
822686,2025-12-31 21:55:00+00:00,2026-01-01 22:00:00+00:00,288,1445.0
863304,2026-07-19 21:45:00+00:00,2026-07-19 21:55:00+00:00,1,10.0
